outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,1600,0.22077826,0.23300374,0.60874957,0.3927288,0.03258731,0.093301564,-704.58136
1,1,1625,0.24114253,0.23283894,0.5991837,0.39295727,0.03195502,0.09232411,-702.5048
1,1,1650,0.20927167,0.23164603,0.5906222,0.39907044,0.031567574,0.09198013,-727.01654
1,1,1675,0.18914516,0.2307188,0.57856405,0.3982791,0.031081757,0.08898832,-723.32874
1,1,1700,0.19405891,0.22681816,0.559445,0.42986572,0.030585183,0.08881806,-732.6561
1,1,1725,0.18468598,0.22335525,0.5337594,0.4485529,0.030440418,0.08684945,-731.61395
1,1,1750,0.18210496,0.21848786,0.5175871,0.46208254,0.030615821,0.088221006,-741.4746
1,1,1775,0.1840223,0.21521203,0.4987997,0.46435148,0.03066461,0.08700496,-730.45123
1,1,1800,0.17934507,0.2127683,0.4837308,0.44866347,0.031081295,0.08879243,-724.97845
1,1,1825,0.18830891,0.21134257,0.47316557,0.42857286,0.031031255,0.090126686,-730.3274
1,1,1850,0.18816757,0.21175367,0.46415478,0.39606556,0.030999705,0.09077965,-732.22
1,1,1875,0.1797202,0.21109444,0.45935503,0.37190738,0.030950472,0.0920445,-736.2524
1,1,1900,0.18099132,0.21014749,0.45264003,0.36037993,0.030662414,0.09197285,-728.10516
1,1,1925,0.18152325,0.20884852,0.44767758,0.3558836,0.030455105,0.0921268,-737.2488
1,1,1950,0.18226899,0.20995268,0.4470188,0.32476714,0.030865634,0.09240921,-728.43097
1,1,1975,0.18349177,0.21077895,0.44708437,0.29977357,0.031070547,0.09331829,-728.368
1,1,2000,0.18362701,0.20953591,0.4491407,0.30322114,0.030742181,0.094406515,-732.47235
1,2,0,0.43446887,0.10690047,0.10011211,-0.058730695,0.10786433,0.12986852,3181.212
1,2,25,0.1528674,0.12561259,0.11804314,-0.22447735,0.1279348,0.1535563,-433.5325
1,2,50,0.15005367,0.13276166,0.124513514,-0.27461755,0.1287649,0.15594372,-432.94507
1,2,75,0.15001084,0.13631603,0.12771115,-0.29751977,0.123561785,0.15161194,-497.85583
1,2,100,0.15039428,0.13916633,0.13059367,-0.316228,0.11671626,0.1455564,-508.64166
1,2,125,0.151242,0.14154278,0.13403106,-0.33331743,0.10988571,0.13977364,-517.81824
1,2,150,0.15385453,0.14343613,0.1378701,-0.34895438,0.103341825,0.13490006,-526.69244
1,2,175,0.15391628,0.1453352,0.14195122,-0.36552042,0.096877985,0.13059011,-557.39594
1,2,200,0.15331377,0.14697033,0.14606188,-0.38187304,0.08998462,0.12510413,-599.06274
1,2,225,0.14988334,0.14815861,0.14984125,-0.39726466,0.08306075,0.119045325,-599.807
1,2,250,0.14873546,0.14902334,0.15365444,-0.412439,0.077378556,0.11550285,-615.66406
1,2,275,0.14756729,0.14996296,0.15723446,-0.42829892,0.072639026,0.114353895,-638.07495
1,2,300,0.14761704,0.15072925,0.16063504,-0.4428098,0.0686629,0.11553705,-642.7328
1,2,325,0.14792192,0.15145828,0.16386168,-0.45687962,0.06518667,0.11774468,-618.2529
1,2,350,0.14674076,0.15195987,0.16670598,-0.4705624,0.061926607,0.120285206,-643.0723
1,2,375,0.14893992,0.15261832,0.1696227,-0.4833053,0.05881594,0.12221341,-652.1576
1,2,400,0.15007243,0.15342768,0.1728138,-0.49490547,0.055945512,0.12446752,-667.80035
1,2,425,0.15139487,0.15441577,0.17601456,-0.50434697,0.053413026,0.12690537,-668.7111
1,2,450,0.15165038,0.15568839,0.17931758,-0.51176393,0.05127657,0.12920341,-665.3248
1,2,475,0.15045728,0.15751456,0.18311006,-0.51494676,0.049570125,0.13202044,-654.06647
1,2,500,0.14934006,0.15997331,0.18748134,-0.5147265,0.04791781,0.13169247,-664.9812
1,2,525,0.15032214,0.16231528,0.19391145,-0.50908655,0.046706215,0.13100953,-665.5736
1,2,550,0.15328214,0.16505331,0.20208414,-0.50146705,0.04589892,0.13305233,-658.41223
1,2,575,0.15464881,0.16780744,0.2101726,-0.4883798,0.045043457,0.1323316,-672.3036
1,2,600,0.15758497,0.16979685,0.21757752,-0.47369015,0.04415019,0.13117014,-670.4209
1,2,625,0.15568873,0.17188299,0.2245199,-0.4560689,0.043368228,0.12914653,-665.77386
1,2,650,0.15650262,0.17427246,0.23182614,-0.43410105,0.042841174,0.12905255,-672.4951
1,2,675,0.15723798,0.17578599,0.23902026,-0.4105902,0.04227853,0.12542428,-671.93414
1,2,700,0.1569368,0.17751367,0.24746504,-0.38165268,0.041822698,0.12230508,-677.96875
1,2,725,0.15854822,0.17969225,0.25441363,-0.35257426,0.041397773,0.12064209,-676.20166
1,2,750,0.16031235,0.18107925,0.26276532,-0.32519603,0.041093603,0.12099208,-682.26855
1,2,775,0.16319565,0.18197027,0.27076066,-0.29608446,0.04091339,0.12136898,-687.5206
1,2,800,0.16140655,0.18312097,0.27778286,-0.26760456,0.04047331,0.1174069,-682.3127
1,2,825,0.1630955,0.18427373,0.28320345,-0.23439543,0.040204126,0.11372988,-689.5805
1,2,850,0.16533217,0.18486625,0.28770697,-0.20709363,0.040186953,0.114294775,-601.5024
1,2,875,0.16082329,0.18573844,0.29371333,-0.18023063,0.04038733,0.11686868,-689.06006
1,2,900,0.16340873,0.18696156,0.29982853,-0.15569754,0.039885048,0.11192028,-688.8704
1,2,925,0.1663708,0.18743747,0.30468744,-0.13039409,0.039832585,0.113130376,-691.011
1,2,950,0.17387944,0.18821123,0.3085438,-0.11191865,0.03980967,0.11432476,-691.8259
1,2,975,0.1693048,0.1906073,0.3150923,-0.09209675,0.03938343,0.11097238,-689.5969
1,2,1000,0.1775711,0.19279158,0.32069445,-0.07350873,0.039951596,0.113211386,-677.1461
1,2,1025,0.16899201,0.19547303,0.31853402,-0.073027566,0.040298022,0.1210395,-687.16095
1,2,1050,0.16883212,0.19751133,0.31552583,-0.07540899,0.039974734,0.122060426,-675.4176
1,2,1075,0.1726447,0.20135933,0.31697062,-0.078012444,0.039409444,0.11692807,-678.03357
1,2,1100,0.1731147,0.20560613,0.32036462,-0.07297371,0.03924509,0.115702815,-661.0361
1,2,1125,0.18891595,0.20919508,0.32522154,-0.06317136,0.039019033,0.114938,-685.38324
1,2,1150,0.18920147,0.21283479,0.33074906,-0.057988953,0.0391754,0.114449374,-676.0434
1,2,1175,0.19447532,0.2162368,0.33928952,-0.054481164,0.03922274,0.11413122,-687.38873
1,2,1200,0.19000666,0.22076914,0.34779432,-0.053291433,0.038842,0.10997617,-680.8261
1,2,1225,0.19807105,0.22469588,0.35628828,-0.05091901,0.038889702,0.10886756,-657.4389
1,2,1250,0.19508745,0.2288673,0.36421,-0.047570944,0.03908163,0.10917265,-676.6197
1,2,1275,0.19531351,0.23229676,0.37037703,-0.03399096,0.038826175,0.10499722,-670.74603
1,2,1300,0.2087353,0.2349152,0.37932628,-0.030939678,0.03896939,0.10482956,-663.5472
1,2,1325,0.20427926,0.23640513,0.38695458,-0.013842466,0.03957549,0.10793079,-660.39
1,2,1350,0.20539705,0.23925133,0.39308465,0.0039465,0.0397273,0.10734193,-655.47314
1,2,1375,0.20156136,0.24128988,0.4000623,0.008783484,0.039372887,0.103152275,-660.26825
1,2,1400,0.19726501,0.24084072,0.4052982,0.023446668,0.039045975,0.103014745,-669.8889
1,2,1425,0.20055635,0.24178042,0.41532186,0.014623446,0.03889165,0.10495643,-616.8324
1,2,1450,0.20518105,0.24288183,0.42102656,0.02102948,0.038536366,0.10262343,-657.6903
1,2,1475,0.21378419,0.24381185,0.42491695,0.024887957,0.038978446,0.104929276,-665.9534
1,2,1500,0.21248919,0.24550965,0.43179122,0.018967466,0.039051477,0.10641733,-651.2203
1,2,1525,0.19623628,0.2454592,0.43764728,0.039242323,0.039144564,0.10772048,-680.3908
1,2,1550,0.19190004,0.24150273,0.43903998,0.096921876,0.03893717,0.1005569,-690.57776
1,2,1575,0.19988148,0.2347346,0.44514358,0.11811137,0.038808174,0.09885289,-680.3216
1,2,1600,0.19621128,0.22992024,0.45037776,0.12972315,0.038492892,0.09467765,-679.2792
1,2,1625,0.18387361,0.2254896,0.44899234,0.15233788,0.038533382,0.09224171,-682.67896
1,2,1650,0.18424173,0.2210878,0.4427061,0.1797233,0.03881276,0.09381496,-703.5273
1,2,1675,0.18899585,0.21790352,0.43472162,0.17793131,0.03879533,0.09543298,-688.1154
1,2,1700,0.1928974,0.21459933,0.42729262,0.17476575,0.038923755,0.09638847,-689.9621
1,2,1725,0.17857912,0.21346898,0.42127082,0.16521567,0.038689137,0.096375585,-685.6024
1,2,1750,0.19275902,0.21439154,0.42358935,0.13655248,0.038425554,0.09539419,-670.30133
1,2,1775,0.17685889,0.21699552,0.4370299,0.10481743,0.038493693,0.09469782,-691.1895
1,2,1800,0.18713562,0.21639706,0.4364496,0.11477357,0.03846261,0.09831323,-680.676
1,2,1825,0.18585025,0.21758692,0.44731548,0.08253817,0.039363258,0.102229066,-683.1596
1,2,1850,0.1950993,0.21725255,0.4486351,0.09044493,0.038803242,0.097323135,-669.54956
1,2,1875,0.17860043,0.21508802,0.4519584,0.08743365,0.038921922,0.099846646,-687.0696
1,2,1900,0.17555527,0.21646695,0.45253357,0.07892576,0.03859268,0.09823781,-689.756
1,2,1925,0.17549306,0.21965064,0.4503017,0.11591297,0.038190935,0.09564664,-683.0004
1,2,1950,0.17246716,0.21677844,0.4519528,0.18205778,0.03801387,0.09754126,-696.70636
1,2,1975,0.17027612,0.21553689,0.4460908,0.16686039,0.038260926,0.09663439,-680.61304
1,2,2000,0.1761992,0.2136784,0.438759,0.14786164,0.038400088,0.0968822,-685.2654
