fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,1850,0.05784443,0.18347299,0.1230256,0.37466687,0.025430484,-961.4187
1,1,1875,0.0578951,0.18038914,0.121756405,0.3630285,0.02549045,-964.6265
1,1,1900,0.057878796,0.18016964,0.122868635,0.36513147,0.025441756,-965.0078
1,1,1925,0.057829056,0.1803557,0.12304131,0.36700508,0.025394341,-964.8895
1,1,1950,0.057940233,0.18036236,0.12277628,0.36382523,0.0253611,-964.5114
1,1,1975,0.05773616,0.18042617,0.12236478,0.3673845,0.025374815,-963.36664
1,1,2000,0.05975824,0.18185955,0.12102007,0.38076782,0.025801726,-949.8078
1,2,0,0.35963932,0.120234996,0.07516117,-0.018863838,0.112736195,1021.4085
1,2,25,0.13365638,0.14595857,0.09198959,-0.21247531,0.13446352,-554.52185
1,2,50,0.11721571,0.15428388,0.107152924,-0.14317766,0.13757749,-585.0521
1,2,75,0.11429007,0.15060242,0.11090271,-0.044149462,0.13407901,-610.55164
1,2,100,0.109680474,0.14309184,0.10517901,0.0374225,0.12882516,-628.1452
1,2,125,0.105974235,0.13576874,0.09775522,0.12656058,0.122769006,-648.2205
1,2,150,0.10029038,0.12700932,0.08995597,0.20696527,0.116308734,-667.8137
1,2,175,0.09043466,0.117240034,0.0816845,0.2675062,0.10944537,-698.9885
1,2,200,0.07638484,0.107749484,0.07366194,0.31341967,0.10160723,-744.61066
1,2,225,0.0670911,0.098338835,0.06639037,0.34381238,0.092563316,-786.6518
1,2,250,0.0648389,0.09001001,0.059593674,0.35948557,0.0835179,-814.02936
1,2,275,0.06378339,0.08372985,0.054121565,0.37096125,0.07545051,-839.339
1,2,300,0.06325114,0.07979645,0.049673695,0.3894761,0.06858398,-857.13226
1,2,325,0.06297596,0.07769913,0.0466648,0.4179972,0.062909596,-874.029
1,2,350,0.06249781,0.0758663,0.044504628,0.45674804,0.058345664,-885.7141
1,2,375,0.061045345,0.07576805,0.0441146,0.51267767,0.054671153,-896.59705
1,2,400,0.059749138,0.076985694,0.045419678,0.5720321,0.05167887,-904.96735
1,2,425,0.059764914,0.0794652,0.04916879,0.6371787,0.04925697,-908.7637
1,2,450,0.06009255,0.08480095,0.05604493,0.70268226,0.047257617,-902.13293
1,2,475,0.059876703,0.09064225,0.06440658,0.7542119,0.04559885,-920.6562
1,2,500,0.060082935,0.09802632,0.073318906,0.7897192,0.043929573,-925.20807
1,2,525,0.060432233,0.108375855,0.080140896,0.8176812,0.042359088,-926.33875
1,2,550,0.060139295,0.11607493,0.08182973,0.8302238,0.04101626,-928.59894
1,2,575,0.060230497,0.12555781,0.08625756,0.8318221,0.039734636,-936.167
1,2,600,0.0600466,0.13139072,0.08835666,0.82082117,0.038529254,-934.68585
1,2,625,0.0599668,0.13725716,0.089397535,0.7939345,0.037490074,-942.33093
1,2,650,0.06132679,0.14266692,0.09400043,0.7455039,0.03654015,-934.4777
1,2,675,0.060149904,0.1491782,0.098127805,0.68195176,0.035854805,-932.2175
1,2,700,0.060681786,0.15304875,0.100649394,0.61628264,0.035290748,-940.361
1,2,725,0.060393393,0.15536982,0.103184,0.5847712,0.034493648,-920.7408
1,2,750,0.060848337,0.16010709,0.10610369,0.5473412,0.033904277,-949.1852
1,2,775,0.06046566,0.1625665,0.11027771,0.5436033,0.033095,-937.952
1,2,800,0.059956882,0.16222194,0.1074581,0.5275789,0.03243083,-942.5553
1,2,825,0.06038536,0.17200714,0.11004526,0.52412695,0.032318305,-946.3749
1,2,850,0.059633177,0.17420276,0.1123833,0.50427586,0.03234739,-920.6332
1,2,875,0.059812408,0.16949855,0.110230416,0.48737553,0.031945318,-940.12585
1,2,900,0.059766974,0.16885737,0.1106829,0.5045893,0.031518135,-936.72626
1,2,925,0.059317224,0.16943072,0.1115542,0.4568167,0.030981215,-952.66394
1,2,950,0.06195815,0.16914137,0.11101869,0.4705751,0.030529685,-935.9226
1,2,975,0.0600353,0.17129727,0.11252711,0.4689358,0.029992463,-951.85614
1,2,1000,0.059327807,0.16652495,0.112523384,0.4554032,0.029519655,-945.2628
1,2,1025,0.05919249,0.16534062,0.114741705,0.46695417,0.029237436,-941.1344
1,2,1050,0.05921927,0.17509592,0.114408545,0.44551215,0.0294972,-941.4468
1,2,1075,0.059869952,0.17259124,0.11859503,0.47207466,0.029685846,-947.41455
1,2,1100,0.059131913,0.17514294,0.11392499,0.42654648,0.029919693,-956.4987
1,2,1125,0.059019774,0.17313969,0.11664879,0.46925855,0.029494654,-952.33276
1,2,1150,0.05919689,0.17116779,0.113678165,0.44677103,0.02905797,-941.04846
1,2,1175,0.060012575,0.17115724,0.11553312,0.44810754,0.028791027,-945.02716
1,2,1200,0.059037436,0.17394494,0.11732082,0.43198475,0.02868921,-939.35394
1,2,1225,0.058934607,0.17154785,0.11545771,0.4179052,0.028699173,-960.17487
1,2,1250,0.05988536,0.17530072,0.11586134,0.45418993,0.028539421,-949.6777
1,2,1275,0.05942371,0.1724854,0.121839255,0.44918478,0.028276974,-952.4262
1,2,1300,0.06296061,0.17998296,0.12160019,0.39564857,0.028000664,-929.5168
1,2,1325,0.06221991,0.19276218,0.13116032,0.48447287,0.028322864,-914.2129
1,2,1350,0.05902951,0.20172039,0.12780839,0.45070156,0.028964866,-925.9536
1,2,1375,0.058954358,0.18700755,0.11882391,0.44227013,0.029316623,-944.50055
1,2,1400,0.065850824,0.19526339,0.12055798,0.5255008,0.029346837,-941.84344
1,2,1425,0.06061456,0.19521289,0.118015915,0.51841766,0.029139718,-923.2894
1,2,1450,0.062239476,0.18973707,0.119466335,0.449374,0.029194945,-947.28284
1,2,1475,0.062120926,0.19486204,0.12677862,0.47442117,0.029049633,-936.52435
1,2,1500,0.06809834,0.19267517,0.12298428,0.44922057,0.029140297,-911.38855
1,2,1525,0.059740685,0.19008213,0.12399174,0.41886917,0.02892908,-919.30554
1,2,1550,0.061079305,0.19306248,0.11596867,0.40328193,0.028669748,-949.58606
1,2,1575,0.062113054,0.19551313,0.11980003,0.43739483,0.028721992,-928.5934
1,2,1600,0.0626397,0.20780636,0.11896172,0.4278903,0.028977143,-929.8585
1,2,1625,0.06508523,0.21944639,0.12418128,0.39155433,0.028914027,-921.08026
1,2,1650,0.05981153,0.24527256,0.12177857,0.4180433,0.029176421,-945.47687
1,2,1675,0.060000885,0.22546324,0.13890408,0.53432727,0.02936999,-946.5295
1,2,1700,0.059034016,0.19989644,0.14474931,0.5408133,0.029691515,-948.97595
1,2,1725,0.0587371,0.17653516,0.11766764,0.43978283,0.028650751,-950.8948
1,2,1750,0.0587448,0.17253305,0.11509334,0.4280581,0.027825845,-961.64984
1,2,1775,0.05839549,0.17699307,0.11975425,0.42345598,0.027243784,-961.9654
1,2,1800,0.058889896,0.1793109,0.12030687,0.40210995,0.026744256,-962.2544
1,2,1825,0.061640836,0.19151957,0.12172147,0.38529685,0.026431067,-947.7808
1,2,1850,0.059919246,0.24934053,0.12651658,0.35412106,0.027147146,-865.47064
1,2,1875,0.11876784,0.41600832,0.16082059,0.62021554,0.029576713,-808.80786
1,2,1900,0.12995285,0.510611,0.20085607,0.8049074,0.032477915,-773.0388
1,2,1925,0.062479775,0.50657535,0.26448682,0.9106114,0.031766105,-872.7074
1,2,1950,0.07239066,0.39457732,0.20820634,0.86252743,0.031762294,-846.54004
1,2,1975,0.062819764,0.29565883,0.1637369,0.80377394,0.031008141,-929.3372
1,2,2000,0.059666224,0.22790837,0.13760585,0.6940312,0.030857196,-914.4675
1,3,0,0.34664008,0.06364869,0.10762757,-0.048053864,0.098427214,1437.4475
1,3,25,0.17618604,0.07929662,0.12882558,-0.19807135,0.1173063,-476.59714
1,3,50,0.109931596,0.08820354,0.11825701,-0.03050049,0.12081356,-631.2075
1,3,75,0.11006663,0.092410296,0.10157514,0.115751356,0.118327014,-646.12524
1,3,100,0.10969764,0.095628224,0.08893662,0.2286172,0.11466443,-659.32733
1,3,125,0.10536764,0.09830383,0.08187586,0.32370803,0.11053433,-676.5912
