outer,inner,epoch,mse,rmse_typ
1,1,0,0.5039182305335999,0.7775497
1,1,25,0.12857088446617126,0.38670188
1,1,50,0.11053317040205002,0.3204969
1,1,75,0.10280957818031311,0.29852688
1,1,100,0.09562790393829346,0.27502814
1,1,125,0.09428803622722626,0.277807
1,1,150,0.09434998035430908,0.27617458
1,1,175,0.09493742883205414,0.2748917
1,1,200,0.09402413666248322,0.2763889
1,1,225,0.09418521076440811,0.2754499
1,1,250,0.09355352073907852,0.28036833
1,1,275,0.09242171049118042,0.27069664
1,1,300,0.08918076008558273,0.2608965
1,1,325,0.08837451040744781,0.25612813
1,1,350,0.08744482696056366,0.2567281
1,1,375,0.0910894125699997,0.2559558
1,1,400,0.08617925643920898,0.25761995
1,1,425,0.0858076810836792,0.2589756
1,1,450,0.08705691248178482,0.2555236
1,1,475,0.0844627395272255,0.25760055
1,1,500,0.08581142872571945,0.2556013
1,1,525,0.08402043581008911,0.25458413
1,1,550,0.08559306710958481,0.25574982
1,1,575,0.08371976017951965,0.25464782
1,1,600,0.08332419395446777,0.25587076
1,1,625,0.08332060277462006,0.2565036
1,1,650,0.08386833965778351,0.25479013
1,1,675,0.08542059361934662,0.25555372
1,1,700,0.08338597416877747,0.25493246
1,1,725,0.08347967267036438,0.2584801
1,1,750,0.08313596248626709,0.25588015
1,1,775,0.08406688272953033,0.26090816
1,1,800,0.08324122428894043,0.2547976
1,1,825,0.08500777184963226,0.26361057
1,1,850,0.08327874541282654,0.2549545
1,1,875,0.08336567878723145,0.25478634
1,1,900,0.08419755846261978,0.2559769
1,1,925,0.08286965638399124,0.2549318
1,1,950,0.0830017551779747,0.2578476
1,1,975,0.08288148045539856,0.25706157
1,1,1000,0.08264476805925369,0.25690857
1,2,0,0.4941554665565491,0.6014475
1,2,25,0.12877120077610016,0.59245884
1,2,50,0.12217380851507187,0.4150905
1,2,75,0.09313784539699554,0.40215346
1,2,100,0.0832267627120018,0.42480856
1,2,125,0.08133698999881744,0.4249867
1,2,150,0.08114569634199142,0.42447346
1,2,175,0.08072740584611893,0.42767677
1,2,200,0.0806448832154274,0.42774537
1,2,225,0.0805550068616867,0.42816013
1,2,250,0.08047834038734436,0.4285754
1,2,275,0.080538809299469,0.42747775
1,2,300,0.07903079688549042,0.4526703
1,2,325,0.0796031728386879,0.43445444
1,2,350,0.07444798946380615,0.47973257
1,2,375,0.07491065561771393,0.42135483
1,2,400,0.07270298898220062,0.4404543
1,2,425,0.07313509285449982,0.42805657
1,2,450,0.07305240631103516,0.4286333
1,2,475,0.07335253059864044,0.42061248
1,2,500,0.07477156817913055,0.40282962
1,2,525,0.07456152886152267,0.40141553
1,2,550,0.07209891080856323,0.42367017
1,2,575,0.07533448189496994,0.3883808
1,2,600,0.07456908375024796,0.3867373
1,2,625,0.0729936882853508,0.39014998
1,2,650,0.07034876197576523,0.4266388
1,2,675,0.07189030200242996,0.3909436
1,2,700,0.0698210746049881,0.43236122
1,2,725,0.07103315740823746,0.39538223
1,2,750,0.07918818295001984,0.3445895
1,2,775,0.06972768902778625,0.4173617
1,2,800,0.06998959928750992,0.40971404
1,2,825,0.07459878921508789,0.36425233
1,2,850,0.07457533478736877,0.36306903
1,2,875,0.07024072110652924,0.4012072
1,2,900,0.06957516074180603,0.41824457
1,2,925,0.06966105103492737,0.4114443
1,2,950,0.07021782547235489,0.4000094
1,2,975,0.06930270791053772,0.42410907
1,2,1000,0.06931421905755997,0.42921072
1,3,0,0.4777180850505829,0.8822706
1,3,25,0.13030509650707245,0.43320528
1,3,50,0.12410693615674973,0.39227107
1,3,75,0.1111697405576706,0.41557607
1,3,100,0.09980446845293045,0.38774556
1,3,125,0.08502937853336334,0.40592438
1,3,150,0.08298197388648987,0.40446824
1,3,175,0.08312727510929108,0.39946863
1,3,200,0.0832747146487236,0.3969858
1,3,225,0.08322460204362869,0.39683715
1,3,250,0.08323436230421066,0.39627573
