outer,inner,epoch,mse,rmse_typ
1,1,0,0.22971946001052856,0.5996165
1,1,25,0.03157702088356018,0.25059086
1,1,50,0.02627856656908989,0.20702338
1,1,75,0.025466598570346832,0.19978878
1,1,100,0.024561896920204163,0.19340436
1,1,125,0.02305329591035843,0.18978019
1,1,150,0.020777873694896698,0.18386905
1,1,175,0.018352974206209183,0.17877056
1,1,200,0.017086507752537727,0.17828193
1,1,225,0.016805479303002357,0.1783972
1,1,250,0.016682766377925873,0.1772927
1,1,275,0.016624342650175095,0.17681931
1,1,300,0.016594022512435913,0.17675197
1,1,325,0.016572605818510056,0.17671059
1,1,350,0.016553934663534164,0.17662409
1,1,375,0.016536403447389603,0.17652586
1,1,400,0.016521932557225227,0.17642272
1,1,425,0.01650986634194851,0.17633574
1,1,450,0.016500670462846756,0.17625414
1,1,475,0.01649348996579647,0.1761942
1,1,500,0.0164868775755167,0.17615217
1,1,525,0.016482070088386536,0.17612459
1,1,550,0.016477277502417564,0.17611004
1,1,575,0.016473378986120224,0.1760962
1,1,600,0.016470476984977722,0.17608696
1,1,625,0.016467591747641563,0.17609267
1,1,650,0.0164653230458498,0.17608921
1,1,675,0.01646345667541027,0.176097
1,1,700,0.016461605206131935,0.17610082
1,1,725,0.016459818929433823,0.17610121
1,1,750,0.01645895279943943,0.17611346
1,1,775,0.01645820029079914,0.17611322
1,1,800,0.016457250341773033,0.17612287
1,1,825,0.01645638234913349,0.1761231
1,1,850,0.016456475481390953,0.17611454
1,1,875,0.01645582914352417,0.17612845
1,1,900,0.016490468755364418,0.17505392
1,1,925,0.016564249992370605,0.17400958
1,1,950,0.01645527221262455,0.17615075
1,1,975,0.016455167904496193,0.17620468
1,1,1000,0.016455022618174553,0.17624669
1,2,0,0.1878211796283722,0.4217809
1,2,25,0.03398869186639786,0.16731209
1,2,50,0.027493927627801895,0.15405954
1,2,75,0.025754621252417564,0.16105019
1,2,100,0.023218469694256783,0.1564456
1,2,125,0.019568199291825294,0.15204954
1,2,150,0.01774629019200802,0.15073667
1,2,175,0.017477484419941902,0.15291674
1,2,200,0.017280632629990578,0.15455996
1,2,225,0.017198596149683,0.1555984
1,2,250,0.017169645056128502,0.15641885
1,2,275,0.01715776138007641,0.15684682
1,2,300,0.017152126878499985,0.15707138
1,2,325,0.017147498205304146,0.15724115
1,2,350,0.01714346557855606,0.1573571
1,2,375,0.017140284180641174,0.15741202
1,2,400,0.01713714376091957,0.15748194
1,2,425,0.0171336829662323,0.15757906
1,2,450,0.017130602151155472,0.15763366
1,2,475,0.0171271450817585,0.15771835
1,2,500,0.017123226076364517,0.15779048
1,2,525,0.017118513584136963,0.1578609
1,2,550,0.017112458124756813,0.15796672
1,2,575,0.017103342339396477,0.15807977
1,2,600,0.01708889566361904,0.15818961
1,2,625,0.01706182025372982,0.15831287
1,2,650,0.01700822077691555,0.15848565
1,2,675,0.01689937897026539,0.15873659
1,2,700,0.0167064368724823,0.15907466
1,2,725,0.016472432762384415,0.159573
