outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.57526803,0.0981037,0.092767924,0.059503328,0.09782203,0.06570957,5139.0596
1,1,25,0.2138304,0.28940806,0.20683816,-0.100870304,0.17882983,0.2261145,-474.64493
1,1,50,0.21753678,0.2715778,0.13359152,0.07320349,0.15295811,0.12943575,-534.7009
1,1,75,0.2008581,0.22759415,0.09768906,0.41429362,0.11503841,0.071501434,-603.827
1,1,100,0.19231308,0.2775951,0.19232059,0.82231724,0.0859512,0.057694685,-663.6882
1,1,125,0.18960968,0.35013673,0.22020258,0.93319297,0.06329247,0.042152934,-713.7826
1,1,150,0.18602365,0.37979943,0.24868518,0.90509295,0.048544973,0.037008617,-744.8001
1,1,175,0.1839882,0.38207576,0.24854656,0.7732626,0.03779316,0.032580845,-775.73755
1,1,200,0.17959464,0.37259844,0.24531287,0.72674125,0.029857216,0.026859384,-804.7168
1,1,225,0.17444275,0.33677998,0.22898307,0.6579858,0.0250226,0.023145044,-826.7954
1,1,250,0.17228048,0.30729896,0.21734886,0.60840815,0.022705927,0.02150725,-839.05334
1,1,275,0.17338207,0.2940985,0.2129344,0.58282095,0.02192975,0.021152152,-842.5659
1,1,300,0.17478438,0.2902002,0.21214068,0.5708035,0.021785825,0.0211504,-844.3135
1,1,325,0.17547907,0.28873986,0.212982,0.56792504,0.021780344,0.021146666,-845.0957
1,1,350,0.1759633,0.2889081,0.21300812,0.56480634,0.021797607,0.02110815,-845.71716
1,1,375,0.17542408,0.28837273,0.21269853,0.56222326,0.021793757,0.02102224,-845.34393
1,1,400,0.17578389,0.28850922,0.2126967,0.56549585,0.021802738,0.020966442,-845.4404
1,1,425,0.17602845,0.28872144,0.21252958,0.5633582,0.021798773,0.02095477,-845.60944
1,1,450,0.17535506,0.28875762,0.21301457,0.5635862,0.02179469,0.02099866,-845.79565
1,1,475,0.17609474,0.288696,0.21427706,0.56219107,0.021807987,0.02105154,-845.34607
1,1,500,0.17502202,0.28924158,0.2136035,0.56186765,0.021814287,0.02112379,-845.0674
1,1,525,0.1759561,0.28824636,0.21388903,0.56489706,0.021783493,0.021139663,-845.113
1,1,550,0.17583095,0.29015473,0.21367022,0.56226414,0.021790259,0.021228947,-845.6633
1,1,575,0.17607507,0.29053387,0.2134788,0.5621526,0.021772062,0.021258473,-845.9948
1,1,600,0.17679633,0.2887753,0.21542388,0.5611078,0.021793991,0.021441327,-845.97437
1,1,625,0.17356002,0.28996107,0.21377775,0.5605287,0.021775678,0.021509351,-846.0257
1,1,650,0.17647785,0.29126856,0.21308441,0.5610074,0.021758532,0.021537002,-845.4152
1,1,675,0.17687997,0.2889467,0.21506822,0.5628524,0.02175445,0.021556836,-847.0485
1,1,700,0.17714983,0.29112458,0.21151954,0.5571984,0.02176343,0.021597551,-845.3274
1,1,725,0.17639495,0.2891806,0.21450381,0.562003,0.021753516,0.021615516,-845.9314
1,1,750,0.1750375,0.29047725,0.21312988,0.5624808,0.021736486,0.021601167,-844.89606
1,1,775,0.17653182,0.2902985,0.21431074,0.5620786,0.02175235,0.0216308,-845.9139
1,1,800,0.17442764,0.28874815,0.21262442,0.56284404,0.021775212,0.021750133,-845.7955
1,1,825,0.17624216,0.28876317,0.21286196,0.5622252,0.021745818,0.021718873,-845.9858
1,1,850,0.17636454,0.29082668,0.21467686,0.5586773,0.021750834,0.021760749,-844.4629
1,1,875,0.17594501,0.2902258,0.21457961,0.561227,0.021757016,0.02182455,-845.80383
1,1,900,0.17331019,0.28895116,0.2138074,0.5595415,0.02173602,0.021738935,-845.32837
1,1,925,0.17674099,0.28957048,0.2165451,0.56388134,0.021729603,0.021742785,-846.4677
1,1,950,0.17767179,0.28973618,0.2141587,0.55922,0.0217499,0.02178851,-844.50165
1,1,975,0.17434418,0.29203728,0.21305878,0.55292964,0.021728903,0.021735786,-845.99054
1,1,1000,0.1791265,0.29020146,0.21358444,0.5666124,0.0217548,0.021704292,-845.514
1,2,0,0.4530995,0.111898005,0.12605081,-0.08229126,0.1679555,0.07841206,1355.0303
1,2,25,0.15314925,0.27154198,0.1462201,-0.3358521,0.2448444,0.14269431,-395.11993
1,2,50,0.15523006,0.20215787,0.053984575,0.36244184,0.13174973,0.05080964,-556.2025
1,2,75,0.15511502,0.29824048,0.18601432,0.9197948,0.074666984,0.08116639,-658.8509
1,2,100,0.19209377,0.3270717,0.188947,0.81386673,0.04575021,0.10509424,-618.8
1,2,125,0.1687715,0.3110547,0.12815243,0.7927008,0.036132403,0.122856304,-706.2638
1,2,150,0.18342946,0.18077704,0.05438443,0.41774663,0.03645119,0.204724,-691.65497
1,2,175,0.16075408,0.2585391,0.031068236,-0.042532623,0.036353137,0.13913634,-717.72516
1,2,200,0.16436929,0.24090949,0.030625071,0.49853012,0.033714008,0.13663729,-716.597
1,2,225,0.1460236,0.23415816,0.040252678,0.75394905,0.033550903,0.13114306,-732.421
1,2,250,0.14591679,0.26025346,0.05980536,0.848699,0.033606812,0.12117849,-719.41504
1,2,275,0.14439419,0.25394666,0.072952814,0.85557413,0.03379618,0.12415665,-739.9519
1,2,300,0.14244041,0.2566737,0.060190663,0.8415402,0.033574652,0.11875086,-739.7801
1,2,325,0.15173939,0.25240985,0.054935,0.8344889,0.033892177,0.12701394,-715.9167
1,2,350,0.15506652,0.2467482,0.056144334,0.825804,0.0337389,0.124085784,-740.74414
1,2,375,0.14022896,0.24762307,0.06253676,0.82552207,0.033855185,0.124552354,-735.45844
1,2,400,0.13899983,0.26987028,0.07485692,0.8212322,0.03395348,0.12413558,-681.51337
1,2,425,0.14078163,0.24435781,0.08672791,0.69791234,0.03435659,0.1213182,-737.95624
1,2,450,0.16893667,0.23948225,0.10181979,0.68608105,0.03367355,0.1219126,-727.7429
1,2,475,0.156388,0.22835836,0.083827525,0.4041166,0.034089442,0.13405941,-753.4223
1,2,500,0.13306683,0.2277302,0.104318894,0.70679516,0.033815887,0.1305854,-734.3127
1,2,525,0.1616003,0.23193988,0.11497147,0.6249156,0.034152694,0.11438728,-757.3418
1,2,550,0.18939646,0.21660365,0.09465998,0.5893792,0.034053613,0.1492507,-730.77405
1,2,575,0.14750907,0.2144078,0.07524565,0.63404757,0.033653725,0.12870651,-751.03845
1,2,600,0.1408355,0.2283261,0.08179128,0.75491875,0.033596784,0.11392445,-753.16345
1,2,625,0.14718528,0.21937248,0.075724624,0.70009816,0.033456028,0.11375179,-746.1456
