outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.55359983,0.095603086,0.121598184,0.15215456,0.08942042,3744.0198
1,1,25,0.22882353,0.33022466,0.3853517,0.36554256,0.20254637,-15.62964
1,1,50,0.21579558,0.3207472,0.34342963,0.68454593,0.18515119,-64.6747
1,1,75,0.21404947,0.30087987,0.2988411,0.6692498,0.14837456,-98.970535
1,1,100,0.20310658,0.31279695,0.27137244,0.75090325,0.11771554,-128.38367
1,1,125,0.2132185,0.32291183,0.2773347,0.8279446,0.093255416,-147.09474
1,1,150,0.20170698,0.338563,0.28962097,0.8741647,0.07548931,-163.06512
1,1,175,0.19610436,0.34296834,0.31549254,0.8866153,0.061644644,-182.0351
1,1,200,0.20042123,0.35654846,0.3301969,0.85097325,0.051513687,-185.56776
1,1,225,0.19084683,0.35728878,0.32302558,0.8340653,0.04635529,-195.93423
1,1,250,0.20333251,0.35972288,0.32350954,0.805664,0.0404748,-204.79474
1,1,275,0.21605846,0.3741794,0.33584192,0.81037724,0.036064792,-190.2098
1,1,300,0.18383072,0.35561913,0.33331218,0.8059934,0.034475565,-171.06766
1,1,325,0.19641633,0.35255098,0.33771148,0.79663736,0.03514137,-200.25844
1,1,350,0.19649224,0.36135313,0.35183054,0.7931333,0.032841012,-166.61417
1,1,375,0.20518954,0.36263213,0.32592252,0.7906434,0.03375884,-202.06117
1,1,400,0.19463515,0.34860173,0.34371117,0.78255945,0.03151317,-216.08385
1,1,425,0.19679955,0.33632413,0.32514343,0.8236003,0.041988116,-176.5582
1,1,450,0.20583512,0.37212116,0.3440561,0.8098727,0.03973097,-206.82335
1,1,475,0.19550085,0.3679908,0.3559726,0.7856511,0.03353027,-212.61127
1,1,500,0.20122945,0.3651611,0.3526759,0.7740077,0.03007506,-215.40842
1,1,525,0.19179869,0.35705942,0.3559868,0.7823027,0.028529689,-215.55914
1,1,550,0.19996412,0.3511637,0.3226937,0.77904075,0.03036375,-206.87764
1,1,575,0.19744149,0.33950981,0.3184456,0.7761233,0.030477075,-212.59117
1,1,600,0.18785413,0.33584866,0.3136183,0.75468904,0.031269524,-211.50923
1,1,625,0.1952291,0.33292106,0.3033319,0.8024603,0.04184225,-189.2412
1,1,650,0.1878055,0.35754994,0.30888793,0.7704509,0.03648613,-210.17456
1,1,675,0.17512754,0.3320962,0.2971319,0.75351715,0.031013342,-219.96082
1,1,700,0.18540938,0.31489643,0.28786635,0.7165357,0.030744724,-220.83908
1,1,725,0.19108541,0.30893496,0.275002,0.7128713,0.03143069,-225.34824
1,1,750,0.18985261,0.31059343,0.27332276,0.7113951,0.031157332,-221.41019
1,1,775,0.20740214,0.30378863,0.27127883,0.76630557,0.041972112,-181.20343
1,1,800,0.1908192,0.33526722,0.28473896,0.77539325,0.03943592,-216.62386
1,1,825,0.18870853,0.31029907,0.2719825,0.7177572,0.031059222,-226.77351
