outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,2,600,0.15904693,0.2810425,0.15666202,0.7185172,0.031015422,0.08797552,-201.33188
1,2,625,0.1646303,0.29296094,0.14229558,0.74934417,0.030252956,0.09546354,-205.46352
1,2,650,0.16098012,0.2759013,0.13903427,0.7788358,0.030349294,0.09250822,-205.30795
1,2,675,0.16143848,0.28642112,0.12944266,0.72974485,0.03136877,0.10461377,-200.526
1,2,700,0.15976116,0.2642639,0.14639723,0.74729764,0.03134439,0.10142134,-204.26393
1,2,725,0.16567788,0.28842667,0.15313038,0.7453799,0.030742297,0.099199794,-205.98485
1,2,750,0.1640098,0.27126965,0.1604606,0.72837055,0.030582987,0.09092856,-203.59831
1,2,775,0.16260535,0.28456113,0.14305124,0.6677839,0.030666923,0.09823889,-200.10957
1,2,800,0.16319664,0.26933798,0.14571758,0.73925763,0.03070357,0.09623127,-207.09894
1,2,825,0.16300592,0.2772543,0.14333782,0.7653785,0.030754318,0.09819545,-203.80621
1,2,850,0.16551085,0.26704505,0.14249016,0.72576904,0.030568996,0.09449057,-204.37437
1,2,875,0.16289797,0.27735764,0.16227119,0.64570713,0.030539976,0.09128672,-201.85403
1,2,900,0.16702999,0.27625486,0.15515916,0.6413346,0.030468287,0.090707466,-198.54674
1,2,925,0.16354644,0.27694166,0.15198189,0.67989564,0.030081654,0.09244921,-205.01996
1,2,950,0.16660035,0.27463433,0.15341806,0.68702376,0.030835005,0.09431528,-203.27867
1,2,975,0.16618434,0.2592401,0.14046854,0.6601663,0.03143762,0.09901842,-194.76862
1,2,1000,0.16796999,0.2740722,0.15161061,0.7047844,0.0305594,0.09749368,-203.92006
1,3,0,0.40714985,0.07692123,0.11485702,0.026088083,0.10777571,0.11228506,2374.897
1,3,25,0.2197387,0.23574106,0.28349996,0.09482792,0.1849269,0.24812213,-2.0787153
1,3,50,0.20826355,0.2214845,0.2187742,0.19408482,0.1351619,0.13517481,-92.07102
1,3,75,0.20385061,0.2087123,0.22171202,0.36195242,0.088211074,0.08414736,-139.73247
1,3,100,0.1967372,0.24051893,0.22514826,0.62124914,0.061337266,0.07470493,-168.25897
1,3,125,0.18592806,0.28249243,0.22381623,0.76783097,0.045472305,0.07774138,-185.69836
1,3,150,0.1753449,0.3075968,0.21778396,0.81136346,0.037550926,0.09174176,-185.48436
1,3,175,0.17477739,0.30169034,0.2010623,0.8051425,0.03401052,0.10151031,-188.50919
1,3,200,0.17392062,0.29527763,0.19461723,0.8411579,0.031882968,0.09694041,-198.90654
1,3,225,0.16107674,0.28887033,0.18486685,0.8436719,0.032629307,0.11299272,-195.568
1,3,250,0.15561296,0.28336543,0.18157268,0.80080163,0.031520907,0.09763382,-201.02242
1,3,275,0.16602823,0.27572045,0.18273339,0.7853215,0.030959254,0.09574749,-201.76965
1,3,300,0.15900844,0.27586284,0.17344353,0.755925,0.03172026,0.09880494,-203.23013
1,3,325,0.15305032,0.26817054,0.17143677,0.7275318,0.031843707,0.095884845,-197.63742
1,3,350,0.1486973,0.27679345,0.17428067,0.79557484,0.03216548,0.10309303,-203.76976
1,3,375,0.14988276,0.27954534,0.16370785,0.6836796,0.030848296,0.097256616,-204.84587
