outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.60701615,0.14735918,0.090850405,-0.011244337,0.10388437,0.08449502,11287.417
1,1,25,0.21125703,0.55754936,0.32085878,0.05906012,0.21412213,0.28770652,240.69237
1,1,50,0.22541657,0.60332644,0.3052429,0.65664756,0.20983508,0.2331161,127.962875
1,1,75,0.21522062,0.53923595,0.2834933,0.6829897,0.18351972,0.1487498,27.238548
1,1,100,0.20954494,0.49267453,0.28260568,0.73871684,0.15662318,0.10107132,-45.0691
1,1,125,0.213831,0.4578814,0.29048145,0.7967647,0.13449124,0.07867468,-88.47566
1,1,150,0.22993556,0.43807468,0.29003486,0.8070627,0.11812683,0.07066704,-107.62582
1,1,175,0.24423315,0.43928018,0.27999014,0.8198246,0.10689832,0.07217498,-116.08611
1,1,200,0.25559822,0.43212867,0.2753109,0.81611764,0.098426566,0.08025873,-123.098076
1,1,225,0.26595598,0.43892148,0.27168873,0.822653,0.090356186,0.08950556,-129.8426
1,1,250,0.2702925,0.44046706,0.2689315,0.817527,0.082631476,0.098391235,-136.13515
1,1,275,0.26518282,0.4327432,0.26584274,0.7929355,0.07529717,0.107444935,-140.45473
1,1,300,0.2580948,0.41736218,0.26645756,0.8037819,0.06846688,0.11461149,-146.50587
1,1,325,0.26906812,0.44192702,0.2555669,0.8167275,0.06234447,0.12220476,-153.24277
1,1,350,0.26218477,0.43032357,0.24662393,0.80345255,0.056842275,0.1291195,-154.99803
1,1,375,0.28362992,0.43775502,0.24469154,0.8223451,0.051911704,0.13292679,-157.73082
1,1,400,0.25768936,0.42962974,0.24410944,0.8244946,0.047735866,0.14007524,-147.94025
1,1,425,0.23324932,0.43248802,0.23518528,0.80368745,0.044074908,0.14355211,-162.4082
1,1,450,0.24351028,0.4267277,0.23119137,0.81245553,0.04078179,0.14517242,-171.09085
1,1,475,0.25851852,0.4332867,0.22628316,0.8164459,0.03807492,0.15051432,-169.1971
1,1,500,0.2694858,0.42310005,0.2188832,0.8062884,0.03579166,0.15581836,-172.20734
1,1,525,0.27003038,0.41591048,0.22463627,0.79723644,0.033753194,0.15450187,-173.45198
1,1,550,0.24931367,0.41598693,0.21945204,0.7842516,0.032061234,0.15854318,-177.09187
1,1,575,0.25154692,0.4084287,0.20274417,0.7349162,0.03055096,0.16013421,-179.37022
1,1,600,0.2917151,0.40688428,0.20959266,0.77707875,0.029265106,0.16043258,-175.40977
1,1,625,0.29328763,0.4043883,0.20092727,0.8196413,0.028284276,0.16293746,-181.8793
1,1,650,0.2671886,0.41971007,0.18847528,0.7884815,0.027419169,0.16532739,-183.46588
1,1,675,0.24299273,0.3890921,0.18568182,0.76442355,0.02680066,0.17727667,-162.82137
1,1,700,0.28229353,0.39563912,0.19046709,0.74618804,0.026224738,0.16317354,-182.65683
1,1,725,0.26037547,0.38986635,0.18301634,0.7389109,0.025754325,0.164491,-173.03053
1,1,750,0.28168264,0.38569522,0.18273605,0.7646876,0.025439898,0.16770978,-184.66313
1,1,775,0.26645693,0.39872852,0.17688031,0.7656676,0.025142577,0.16937718,-182.12094
1,1,800,0.27231365,0.38847187,0.17992142,0.7056049,0.024945747,0.16984111,-185.99585
1,1,825,0.285431,0.37138534,0.17989354,0.7158983,0.024702707,0.16623849,-184.7118
1,1,850,0.2648745,0.37737453,0.19041052,0.71524405,0.024543246,0.1675765,-183.62071
1,1,875,0.2783855,0.3698699,0.1787426,0.6900498,0.024441462,0.16854085,-185.71515
1,1,900,0.2695138,0.37513235,0.1818525,0.6797576,0.024401328,0.16718759,-186.50775
1,1,925,0.29124177,0.3686785,0.1721008,0.67994,0.024372475,0.16932002,-173.20091
1,1,950,0.28729182,0.35449666,0.16831441,0.65973437,0.024298482,0.16672263,-188.80045
1,1,975,0.28405982,0.36576822,0.16751884,0.7094271,0.02422134,0.1674525,-186.83517
1,1,1000,0.29556018,0.3375827,0.16997327,0.76755273,0.024386203,0.17691147,-183.95726
1,2,0,0.6759682,0.15105021,0.13307624,-0.09685383,0.13526374,0.1476662,6608.356
1,2,25,0.2798464,0.5186005,0.41741222,-0.38103044,0.26080477,0.40283716,289.82297
1,2,50,0.27055496,0.5436987,0.31187442,-0.21499385,0.23622914,0.22658534,144.68628
1,2,75,0.2732469,0.49095282,0.2782679,0.21598214,0.18661691,0.107268475,1.7894899
1,2,100,0.29844,0.43751675,0.2887638,0.5844526,0.14320187,0.06558744,-84.18343
1,2,125,0.30838922,0.43970987,0.29989523,0.7143662,0.11768925,0.05956986,-101.87576
1,2,150,0.30184686,0.43322888,0.28980416,0.71548414,0.10453206,0.07309809,-119.78066
1,2,175,0.29391328,0.4212906,0.27482933,0.731889,0.091414995,0.08984232,-130.44121
1,2,200,0.25787708,0.42276445,0.27748626,0.6982323,0.078791805,0.10546527,-139.24513
1,2,225,0.2613339,0.4142618,0.26944244,0.72386694,0.06775484,0.11766054,-155.27611
1,2,250,0.26033533,0.40623608,0.26071742,0.7337712,0.058448102,0.12859708,-160.31062
1,2,275,0.26707694,0.40499228,0.24616225,0.7182952,0.050324243,0.13616228,-162.75377
1,2,300,0.2460391,0.40478626,0.22415946,0.7117644,0.043842748,0.14655879,-171.73691
1,2,325,0.27428588,0.3894004,0.22061828,0.6771251,0.03841156,0.14638641,-186.79874
1,2,350,0.24985847,0.3902029,0.20542404,0.73329103,0.03449906,0.1788022,-157.25914
1,2,375,0.24100335,0.3782124,0.19905996,0.651484,0.030835582,0.15684894,-193.3687
1,2,400,0.23355427,0.37679818,0.20225787,0.5599873,0.027809035,0.16029559,-197.85707
1,2,425,0.22183706,0.35953376,0.19237792,0.6455666,0.025534144,0.16822545,-191.98569
1,2,450,0.22914101,0.359595,0.19904491,0.5281522,0.023775129,0.1621302,-203.03568
1,2,475,0.21770242,0.352583,0.18208195,0.63218975,0.02239287,0.17109266,-205.87973
1,2,500,0.22734335,0.34940353,0.17596357,0.61513543,0.02134086,0.1683804,-206.06972
1,2,525,0.2533482,0.34169585,0.1899933,0.55588883,0.020550076,0.16802625,-208.29456
1,2,550,0.22851971,0.33771464,0.1898891,0.6224522,0.019983392,0.17486584,-205.21121
1,2,575,0.22024621,0.3236856,0.17585589,0.6360327,0.01959701,0.17157596,-206.92168
1,2,600,0.21567734,0.33129606,0.18541822,0.6329837,0.019296074,0.1736166,-209.08418
1,2,625,0.20504563,0.3183959,0.20044038,0.54407215,0.01903388,0.17368555,-203.3992
1,2,650,0.205109,0.319964,0.1834973,0.6160205,0.018997388,0.17385228,-208.91298
1,2,675,0.22889741,0.32243684,0.16813749,0.63074446,0.018889423,0.17278883,-198.15106
1,2,700,0.21983735,0.32753333,0.18064262,0.5769444,0.018805897,0.17218639,-208.9621
1,2,725,0.2120601,0.33209115,0.19776236,0.522539,0.018736051,0.16804117,-205.0769
1,2,750,0.21872026,0.32053715,0.1839333,0.5813562,0.0186944,0.16985992,-208.93448
1,2,775,0.1994048,0.31128368,0.184937,0.51559633,0.01873184,0.17289604,-206.79095
1,2,800,0.20083138,0.3149866,0.18229328,0.5936949,0.01878905,0.17730582,-199.05164
1,2,825,0.20944366,0.32377836,0.1758079,0.59397525,0.018833973,0.17120396,-209.14503
1,2,850,0.204204,0.322221,0.17597316,0.58932096,0.018786592,0.17312656,-203.94336
1,2,875,0.2174928,0.32358828,0.19378369,0.5789761,0.018723415,0.16943243,-212.4011
1,2,900,0.20066227,0.3117407,0.18251619,0.59733814,0.018694634,0.17089371,-204.3476
1,2,925,0.20039427,0.31956398,0.19626127,0.5530639,0.018736636,0.1748153,-202.71776
1,2,950,0.20852786,0.3280601,0.1866819,0.5784745,0.01877583,0.17620927,-199.87842
1,2,975,0.20656265,0.3196311,0.18270428,0.5743511,0.01876881,0.17682667,-199.7646
1,2,1000,0.20857184,0.31177658,0.19252947,0.524006,0.018700134,0.17300604,-208.0664
1,3,0,0.82657105,0.096089095,0.09390666,-0.16311593,0.12408304,0.08798054,8012.7617
1,3,25,0.60697037,0.34145117,0.31189013,-0.11132441,0.24462135,0.25062677,215.63554
1,3,50,0.43670556,0.38720292,0.28996456,0.025554428,0.22572562,0.18522757,96.65595
1,3,75,0.4127381,0.363408,0.25168884,0.15102196,0.1806245,0.10941929,-17.295334
1,3,100,0.3922387,0.3662177,0.25641268,0.37089473,0.14277545,0.07409463,-83.611374
1,3,125,0.3617712,0.36690244,0.2663877,0.5417131,0.11813297,0.06180155,-120.49508
1,3,150,0.36988306,0.3731859,0.26832068,0.61797875,0.10486938,0.06373068,-129.02902
1,3,175,0.36963773,0.37217703,0.2647723,0.63738537,0.09530511,0.07238613,-135.53737
1,3,200,0.3567476,0.3764044,0.2585369,0.6405715,0.08660001,0.083502,-137.53603
1,3,225,0.35054308,0.36502314,0.24962886,0.646547,0.079302676,0.09979001,-131.73984
1,3,250,0.36057037,0.36651397,0.24102959,0.6634692,0.07119407,0.10843298,-155.3026
1,3,275,0.39615944,0.36627018,0.23771666,0.64213085,0.06305544,0.11408208,-160.44087
1,3,300,0.3836217,0.36185697,0.2358649,0.6353372,0.056250155,0.12262359,-163.0374
1,3,325,0.36941364,0.35685018,0.22919941,0.6295037,0.050375592,0.12872528,-160.98709
1,3,350,0.3882629,0.35172,0.2228038,0.6225357,0.045676183,0.13773726,-171.55222
1,3,375,0.38452002,0.34901905,0.21734925,0.6126164,0.041581213,0.13893946,-176.0034
1,3,400,0.33612126,0.3467725,0.2071361,0.61292124,0.03841305,0.15239704,-162.98734
1,3,425,0.36371148,0.34154725,0.20136519,0.5871424,0.035711262,0.15038387,-166.96307
1,3,450,0.34862894,0.34245646,0.19606318,0.5566286,0.03349384,0.15205163,-179.6211
1,3,475,0.35288113,0.33728778,0.1963754,0.54831046,0.031737927,0.15595564,-165.83705
1,3,500,0.3785961,0.3344092,0.18251917,0.5379082,0.030380633,0.1559633,-180.25485
1,3,525,0.3888435,0.33228707,0.1766104,0.5053241,0.02923813,0.16014346,-186.98058
1,3,550,0.42628434,0.32145712,0.17721577,0.5015085,0.028379064,0.16825406,-167.26051
1,3,575,0.40201634,0.32163802,0.18147843,0.4654935,0.0277826,0.15794319,-187.65681
1,3,600,0.36718634,0.3192182,0.18216383,0.46734628,0.02732104,0.15922374,-188.29588
1,3,625,0.37270012,0.32229432,0.1783565,0.50718063,0.026897565,0.15897971,-188.41289
1,3,650,0.35723686,0.31310564,0.17427607,0.5299914,0.02658872,0.16084962,-188.90593
1,3,675,0.36595345,0.31222597,0.17295992,0.50260067,0.026398443,0.16081034,-189.91966
1,3,700,0.36972886,0.29872268,0.17933552,0.4506385,0.026217537,0.16169646,-190.42842
1,3,725,0.35558453,0.3051548,0.18750724,0.49183264,0.026182003,0.16197155,-188.163
1,3,750,0.35835484,0.3089543,0.1738135,0.50155133,0.026172945,0.15738766,-191.22592
1,3,775,0.37400544,0.30161503,0.17413956,0.4888228,0.026209874,0.16178966,-191.15492
1,3,800,0.35791317,0.2994892,0.18783559,0.46467957,0.026224853,0.16504128,-186.05353
1,3,825,0.39751253,0.30785078,0.1833299,0.5168389,0.026216958,0.16392756,-191.05042
1,3,850,0.36666527,0.301311,0.16533546,0.50796753,0.026141241,0.16270752,-191.73895
1,3,875,0.3512149,0.2990139,0.16814657,0.46911457,0.026089327,0.16351332,-189.80757
1,3,900,0.37912443,0.3004093,0.1815887,0.46883667,0.025966212,0.16113307,-192.49905
1,3,925,0.37957776,0.29861003,0.17142132,0.46123987,0.025961218,0.16635264,-186.70444
1,3,950,0.37808776,0.29493365,0.17399593,0.52629787,0.026146932,0.16911137,-176.23633
1,3,975,0.3898331,0.30109277,0.17365639,0.4434697,0.026239717,0.16247702,-189.04863
1,3,1000,0.3622969,0.29815775,0.17962223,0.4324579,0.026210105,0.1588525,-185.91249
1,4,0,0.6290918,0.1371368,0.18685032,-0.059219748,0.085890815,0.11991424,13272.58
1,4,25,0.41999644,0.5470442,0.82162946,-0.50512886,0.17293395,0.44582754,276.85352
1,4,50,0.41961464,0.56417096,0.62351817,-0.13577677,0.17536604,0.40184763,198.42386
1,4,75,0.457546,0.4957196,0.41460472,0.21443324,0.16124599,0.27555105,90.74416
1,4,100,0.5117164,0.4629209,0.30457932,0.49873924,0.14328875,0.17837624,-5.52146
1,4,125,0.5772781,0.43229392,0.27375412,0.7189814,0.1250387,0.12169297,-78.87474
1,4,150,0.6240558,0.4181695,0.29252926,0.79442906,0.10931596,0.09329299,-116.5292
1,4,175,0.6675687,0.41064808,0.2908054,0.79969096,0.09804437,0.08375605,-130.82849
1,4,200,0.68549573,0.41088587,0.28100342,0.80643773,0.09041499,0.08531653,-136.11386
1,4,225,0.69959867,0.4191767,0.2804245,0.77929014,0.084159635,0.09137996,-142.15936
