outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,0,0.70666695,0.09665614,0.15244484,-0.10956287,0.13070957,14230.226
1,1,25,0.70062286,0.3753145,0.41424146,0.3304381,0.26980504,-617.8533
1,1,50,0.42795718,0.46033043,0.35928178,0.46326005,0.25875238,-864.00476
1,1,75,0.38782936,0.44350263,0.33415526,0.5666388,0.21924019,-959.33405
1,1,100,0.38297454,0.40814832,0.3576785,0.6642559,0.1892958,-1001.4796
1,1,125,0.38460422,0.38450956,0.3728365,0.7154057,0.1768138,-1016.1635
1,1,150,0.3746407,0.37721488,0.3689269,0.7232447,0.17360137,-1026.7401
1,1,175,0.31089753,0.38010138,0.359532,0.6970918,0.17321719,-954.36804
1,1,200,0.29475406,0.41030866,0.32542422,0.59531224,0.1708503,-1076.6787
1,1,225,0.28716612,0.37237817,0.28514868,0.64771056,0.16486783,-681.58887
1,1,250,0.29307395,0.35962114,0.28974822,0.6339469,0.16559955,-1099.8284
1,1,275,0.26291722,0.33155647,0.27364796,0.59603846,0.16187523,-1110.2668
1,1,300,0.2565632,0.3054214,0.25895196,0.58295554,0.16210729,-1116.2233
1,1,325,0.25705883,0.2899204,0.2543898,0.5623056,0.16298579,-1122.3477
1,1,350,0.28577486,0.2883802,0.25342977,0.53522646,0.16250752,-1115.3778
1,1,375,0.2576575,0.28291708,0.25192422,0.5265202,0.16189764,-1120.8092
1,1,400,0.26553416,0.28040972,0.2538782,0.5213139,0.16222133,-1125.4448
1,1,425,0.26436672,0.27917308,0.25163165,0.51005507,0.16157395,-1116.4729
1,1,450,0.2572026,0.27763468,0.24688762,0.50732553,0.16134897,-1104.7821
1,1,475,0.26323625,0.27969098,0.2468419,0.51578104,0.16239068,-1119.4623
1,1,500,0.26868463,0.27916604,0.24990512,0.5049314,0.1614994,-1104.7811
1,1,525,0.2744852,0.2791131,0.24462761,0.5012383,0.16196202,-1115.1387
1,1,550,0.27774808,0.2802287,0.24595207,0.5170785,0.16172983,-1127.85
1,1,575,0.26442677,0.27760315,0.24349035,0.5188031,0.16144443,-1095.0956
1,1,600,0.2612794,0.28009737,0.24685903,0.51346606,0.16179746,-1119.5583
1,1,625,0.26888752,0.27840137,0.24458477,0.5190253,0.16105412,-1118.7948
1,1,650,0.26671866,0.27974343,0.24058321,0.51396996,0.16078821,-1122.7123
1,1,675,0.25944853,0.27813512,0.24141921,0.4969138,0.16075096,-1120.9766
1,1,700,0.2672922,0.27839622,0.24045557,0.5071802,0.16130798,-1126.1571
1,1,725,0.26992822,0.27942815,0.2450065,0.5022875,0.16062224,-1129.174
1,1,750,0.26775452,0.27928722,0.23770697,0.49761015,0.1609499,-1120.3438
1,1,775,0.2669924,0.3202118,0.24454454,0.5105861,0.16356565,-1104.7783
1,1,800,0.26280397,0.2950832,0.2441325,0.5444751,0.16070223,-1126.5681
1,1,825,0.27879298,0.27617538,0.23613887,0.5055859,0.16125166,-1122.752
1,1,850,0.29104874,0.27688202,0.24072556,0.49656677,0.16102012,-1121.0116
