outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,1,0,0.64914525,0.068920515,0.10563754,-0.14172502,0.104797676,0.11816464,17562.766
1,1,25,0.32016504,0.084053986,0.12839098,-0.32796332,0.122971214,0.14129378,1106.5345
1,1,50,0.32437843,0.09069331,0.13921703,-0.38531524,0.12726693,0.15217869,-224.5455
1,1,75,0.2732342,0.09369155,0.14357536,-0.3963894,0.12744798,0.15514395,-339.60846
1,1,100,0.2936301,0.09643436,0.14711419,-0.40279678,0.12697603,0.15617093,-421.57562
1,1,125,0.27584726,0.09928982,0.14958303,-0.40786117,0.12604156,0.15581937,-454.1701
1,1,150,0.28579932,0.10224995,0.152851,-0.41421053,0.12508982,0.1555185,-538.1568
1,1,175,0.2748184,0.10535048,0.15649343,-0.42168266,0.123828396,0.1542948,-550.4163
1,1,200,0.2790422,0.108484425,0.15995279,-0.42981902,0.122673266,0.15398419,-638.8208
1,1,225,0.2773901,0.11150963,0.16392441,-0.4388076,0.12144141,0.1538275,-715.8412
1,1,250,0.26373342,0.114663474,0.17040947,-0.45042747,0.11978026,0.15133327,-790.16376
1,1,275,0.25366986,0.117771484,0.17460458,-0.4578673,0.11762196,0.1462576,-840.15265
1,1,300,0.27765384,0.12083173,0.17826544,-0.4645725,0.115244314,0.14031915,-869.0641
1,1,325,0.27804682,0.12380354,0.18281063,-0.47112575,0.11286313,0.13471067,-899.6759
1,1,350,0.2759239,0.12685466,0.18744548,-0.4787532,0.11075397,0.13092117,-932.1583
1,1,375,0.27857563,0.12984571,0.19325313,-0.48789445,0.10890894,0.12842044,-951.64233
1,1,400,0.29459715,0.13300987,0.19801871,-0.4944723,0.10718891,0.126636,-971.1871
1,1,425,0.28549844,0.13602255,0.200239,-0.49659872,0.10573525,0.12629817,-996.92786
1,1,450,0.3053978,0.13889298,0.20150104,-0.49696174,0.1038675,0.124987885,-984.80493
1,1,475,0.30455628,0.14151421,0.20361638,-0.49764672,0.10208247,0.12427014,-1028.0272
1,1,500,0.30693665,0.1439459,0.2041408,-0.49648425,0.10015956,0.12373139,-1043.4983
1,1,525,0.33447483,0.14619467,0.20471118,-0.4958219,0.098355904,0.123646274,-1047.6925
1,1,550,0.3470832,0.14845698,0.20877944,-0.49610665,0.09660452,0.122836165,-1046.1399
1,1,575,0.36676934,0.15087381,0.21689044,-0.49838567,0.09499522,0.12266799,-1068.1385
1,1,600,0.3522716,0.15340078,0.22250009,-0.49818128,0.09344576,0.12219273,-1078.9487
1,1,625,0.35533223,0.15571441,0.22425549,-0.49285895,0.09171098,0.121799886,-1108.9618
1,1,650,0.35335794,0.15798554,0.22679745,-0.48715472,0.09004705,0.12164272,-1086.0588
