outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,2,850,0.789191,0.323966,0.25381625,0.5746549,0.15852506,-106.177986
1,2,875,0.81694496,0.32398808,0.25349343,0.5670823,0.15802218,-110.34987
1,2,900,0.8021014,0.3108696,0.2501181,0.5620211,0.1574174,-111.2715
1,2,925,0.78201026,0.30740765,0.25212964,0.54955065,0.15704885,-111.85459
1,2,950,0.7740432,0.3077917,0.2429382,0.54381776,0.1572591,-95.30507
1,2,975,0.74213123,0.31188872,0.24256508,0.5638352,0.15734029,-113.41141
1,2,1000,0.77659446,0.30408314,0.24186549,0.5314777,0.15688165,-107.793015
1,3,0,0.8454229,0.0828198,0.15272403,-0.09149741,0.116963066,11418.091
1,3,25,0.3963363,0.38150433,0.5834781,0.2737436,0.34055394,301.75516
1,3,50,0.4012568,0.53678566,0.48424354,0.3829781,0.36133525,143.89449
1,3,75,0.40808442,0.50036794,0.4107439,0.49673927,0.31623903,76.24952
1,3,100,0.3759233,0.46039608,0.39080584,0.5584699,0.2699246,24.47766
1,3,125,0.3539703,0.43529922,0.37611702,0.6158347,0.23304671,-9.261127
1,3,150,0.3326117,0.41800785,0.36233047,0.5914862,0.20644453,-33.89429
1,3,175,0.31333017,0.4005971,0.35099015,0.646451,0.18865564,-46.25199
1,3,200,0.3074607,0.3906226,0.33678254,0.6332934,0.17830344,-54.525906
1,3,225,0.2965682,0.3868265,0.320722,0.6749072,0.17280869,-64.69901
1,3,250,0.29281643,0.38636228,0.30297494,0.63648725,0.16837043,-71.11954
1,3,275,0.28884265,0.3826476,0.30339387,0.64435804,0.1658143,-69.77917
1,3,300,0.27860728,0.38558513,0.29399037,0.65719825,0.16503137,-72.09698
1,3,325,0.27280816,0.37850675,0.29250354,0.7026363,0.16453528,-71.94983
1,3,350,0.2681194,0.3781045,0.29507893,0.6707255,0.16492686,-75.966446
1,3,375,0.26588014,0.38005102,0.29512632,0.6692898,0.16543125,-75.27509
1,3,400,0.26494023,0.37160996,0.2946754,0.7041894,0.16456968,-76.02012
1,3,425,0.25995043,0.37271556,0.2821123,0.6935097,0.16463883,-76.548485
1,3,450,0.25477952,0.37546432,0.2752443,0.7089654,0.16468787,-75.213135
1,3,475,0.25261876,0.3771794,0.27834496,0.6671953,0.16449757,-76.756744
1,3,500,0.25252858,0.37320518,0.27971134,0.66476077,0.16444488,-76.3596
1,3,525,0.25095364,0.36961728,0.27100578,0.6605823,0.16517873,-73.29602
1,3,550,0.24983151,0.3711368,0.2762358,0.6888108,0.16630661,-77.703705
1,3,575,0.25750762,0.3649625,0.2737302,0.71140045,0.16471173,-77.8438
1,3,600,0.24562413,0.36238223,0.26517984,0.65989304,0.16518319,-67.02912
1,3,625,0.24600048,0.3536709,0.26537678,0.63413817,0.16516761,-80.08588
1,3,650,0.25455344,0.35212564,0.26366726,0.6286684,0.1641993,-75.70046
1,3,675,0.24895884,0.35036826,0.26139432,0.6468153,0.16787548,-50.11672
1,3,700,0.25211763,0.34516343,0.26809758,0.6516117,0.16710265,-79.53961
1,3,725,0.24586947,0.33937314,0.26873097,0.6037892,0.16450262,-80.19895
1,3,750,0.26017594,0.3449264,0.2472381,0.62717086,0.17079976,-65.11937
1,3,775,0.24513769,0.34725064,0.24572478,0.60196316,0.16733614,-82.58783
1,3,800,0.24595396,0.34183604,0.2488327,0.5982278,0.16601768,-85.37094
1,3,825,0.24617729,0.33230442,0.25123784,0.59218836,0.16640212,-76.46219
1,3,850,0.24526992,0.33507973,0.255935,0.5980155,0.16505513,-80.50091
1,3,875,0.24977599,0.33424324,0.24362211,0.6543847,0.16596527,-72.37929
1,3,900,0.26874572,0.3310628,0.25390485,0.57285047,0.16677025,-71.51744
