fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,1850,0.057752714,0.17346698,0.12693876,0.2593178,0.028416375,-301.97952
1,1,1875,0.05794141,0.17826733,0.13025372,0.4180434,0.029632729,-283.49463
1,1,1900,0.058853086,0.18970098,0.13322233,0.27778846,0.028060129,-306.99612
1,1,1925,0.0581648,0.17797573,0.13003215,0.2904928,0.030042555,-298.8711
1,1,1950,0.05846505,0.17734985,0.13585147,0.37859,0.0312842,-297.45102
1,1,1975,0.057665166,0.1724833,0.13187678,0.31326416,0.030661372,-302.291
1,1,2000,0.057731207,0.16651212,0.12317,0.40437865,0.030715823,-293.70523
1,2,0,0.33753034,0.08391643,0.13509046,0.08194642,0.1164019,1322.4797
1,2,25,0.12240801,0.24325044,0.31586123,-0.062477317,0.21912405,-47.525997
1,2,50,0.10770237,0.22450018,0.26506525,-0.03167961,0.12143708,-155.9197
1,2,75,0.111404195,0.20716478,0.27103132,0.17333522,0.069937006,-196.61606
1,2,100,0.09213668,0.20449172,0.29000962,0.3296016,0.052255597,-243.51912
1,2,125,0.080114685,0.18749875,0.24217628,0.32733154,0.042981982,-269.54065
1,2,150,0.07586385,0.18127409,0.19965054,0.4362701,0.038645096,-286.9552
1,2,175,0.078186154,0.18367092,0.17603864,0.4330635,0.03731863,-287.40488
1,2,200,0.079921015,0.18873964,0.1790857,0.3997258,0.03318403,-280.98468
1,2,225,0.08534979,0.19149822,0.14975475,0.40668792,0.03288127,-289.96442
1,2,250,0.08207042,0.18562122,0.14544973,0.34970787,0.03446958,-286.2402
1,2,275,0.0803568,0.17845084,0.15317988,0.40055493,0.031397074,-285.06973
1,2,300,0.08439285,0.18711334,0.14998184,0.44370568,0.03276695,-292.06934
1,2,325,0.08212284,0.18682273,0.15235108,0.33443707,0.03227687,-289.0628
1,2,350,0.09208302,0.17351338,0.13672057,0.3230854,0.030505866,-275.02374
1,2,375,0.08497116,0.17519356,0.14961402,0.42948228,0.030673396,-293.19357
1,2,400,0.08414918,0.1824702,0.14771393,0.32823566,0.029593032,-298.81503
1,2,425,0.09115732,0.18152913,0.14119224,0.35076472,0.02973387,-302.1776
1,2,450,0.088888355,0.17087272,0.13515295,0.24205261,0.03070438,-296.48785
1,2,475,0.089292236,0.17270277,0.13583201,0.3225124,0.029134508,-290.21573
1,2,500,0.08566272,0.16901544,0.12945816,0.41633442,0.032238893,-284.86975
1,2,525,0.09205851,0.15671287,0.12435741,0.47095028,0.034648538,-282.32645
1,2,550,0.080241084,0.1723057,0.13206849,0.27466518,0.029856868,-285.9016
1,2,575,0.09102108,0.1833537,0.14036307,0.40820023,0.035227917,-275.91345
1,2,600,0.09181421,0.16349357,0.14244272,0.32932222,0.032595385,-283.878
1,2,625,0.085080616,0.17260508,0.14353952,0.34529865,0.02955125,-299.09506
1,2,650,0.08415434,0.17590378,0.13338633,0.39146206,0.032892462,-283.544
1,2,675,0.0880029,0.1708484,0.1315866,0.44066796,0.03050552,-306.32452
1,2,700,0.08758504,0.16671395,0.13676497,0.3049525,0.031707093,-301.63608
1,2,725,0.08112093,0.16910735,0.14125,0.36275968,0.030475687,-292.1467
1,2,750,0.08899583,0.1642612,0.14719188,0.3634671,0.030665189,-292.66083
1,2,775,0.07531716,0.18932115,0.14135723,0.15353343,0.028732417,-292.69397
1,2,800,0.09351718,0.17511812,0.13661306,0.33297148,0.028953286,-297.4189
1,2,825,0.08933444,0.16990286,0.13517627,0.31456146,0.031182291,-307.0653
1,2,850,0.078700095,0.17735983,0.13498048,0.28332958,0.02980723,-305.30142
1,2,875,0.08838599,0.16662717,0.12501007,0.36878437,0.03354341,-302.49637
1,2,900,0.08853021,0.17649798,0.12336096,0.349792,0.030239193,-311.07376
1,2,925,0.09306721,0.18437456,0.12867968,0.34910357,0.030013518,-300.9123
1,2,950,0.091904804,0.17249483,0.13927376,0.32280532,0.032331232,-303.44064
1,2,975,0.08623092,0.16545166,0.1420747,0.44933587,0.031364378,-303.3816
1,2,1000,0.08860145,0.17031236,0.1169689,0.40774915,0.032743413,-301.78067
1,2,1025,0.089266464,0.15530308,0.11214495,0.38051662,0.033733368,-303.64218
1,2,1050,0.08634763,0.18141241,0.121067286,0.41423348,0.02874041,-306.0915
1,2,1075,0.09859848,0.15737991,0.12383998,0.37742093,0.033963736,-283.84125
1,2,1100,0.0902044,0.17540345,0.12991072,0.34212196,0.03027713,-299.6224
1,2,1125,0.08852791,0.16639262,0.14102495,0.36946654,0.029727967,-304.19827
1,2,1150,0.08641389,0.16592205,0.12584104,0.38637573,0.030077953,-304.8616
1,2,1175,0.09221729,0.18219106,0.12066956,0.32036203,0.03117085,-278.73227
1,2,1200,0.0907884,0.17420566,0.12894934,0.30497375,0.03140285,-302.39142
1,2,1225,0.086965896,0.16282503,0.12812474,0.3828796,0.031502888,-294.49707
1,2,1250,0.090299964,0.16938755,0.13763888,0.41923332,0.032261632,-298.2322
1,2,1275,0.0854919,0.17935574,0.13376099,0.28595892,0.02928606,-304.53635
1,2,1300,0.08198756,0.16200572,0.13773715,0.37876147,0.031516865,-299.2709
1,2,1325,0.089622505,0.16348183,0.15800783,0.2505101,0.030202297,-299.554
1,2,1350,0.082623385,0.169927,0.14200096,0.3387442,0.029970482,-302.34982
1,2,1375,0.091756426,0.17036815,0.13207465,0.1929302,0.031461995,-296.0924
