outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma_1,sigma_2,LL
1,2,575,0.7304269,0.3016302,0.22277002,0.5306075,0.023984525,0.15653522,-1364.1749
1,2,600,0.67628187,0.2936919,0.2184754,0.50889236,0.023130834,0.15724394,-1363.3293
1,2,625,0.6515497,0.29561654,0.22151993,0.47483405,0.02241327,0.15964198,-1377.4832
1,2,650,0.66230124,0.32857794,0.21962,0.4461273,0.022006018,0.16379064,-1367.5173
1,2,675,0.6007354,0.29199418,0.2183449,0.45526838,0.021654947,0.160964,-1359.1974
1,2,700,0.5572511,0.29061884,0.21755977,0.45161262,0.021247737,0.15897585,-1382.3668
1,2,725,0.53903025,0.29162166,0.22026944,0.44138905,0.020892195,0.16043918,-1371.7795
1,2,750,0.56669605,0.29005876,0.21672422,0.43688297,0.02059994,0.15932874,-1378.7128
1,2,775,0.5606096,0.29149216,0.2114214,0.43805766,0.02040677,0.16075857,-1372.5471
1,2,800,0.5313607,0.29947138,0.2167436,0.42046258,0.020263445,0.16124518,-1369.6544
1,2,825,0.51077944,0.29734945,0.2144613,0.4140079,0.020181436,0.15771973,-1351.9182
1,2,850,0.5581845,0.29120925,0.215635,0.42549738,0.020210758,0.16045035,-1367.9924
1,2,875,0.55964583,0.2892522,0.21738215,0.43515673,0.020130146,0.16183853,-1375.8679
1,2,900,0.54249126,0.28677735,0.21745197,0.44336998,0.02003095,0.15929765,-1383.9193
1,2,925,0.45119917,0.31215495,0.21415263,0.40052626,0.020019265,0.16146116,-1378.3943
1,2,950,0.5469906,0.28149518,0.21020351,0.45320228,0.020042168,0.16368487,-1364.6985
1,2,975,0.49043396,0.29650393,0.21281098,0.43313795,0.019980589,0.16481476,-1378.0094
1,2,1000,0.552393,0.2898797,0.21596423,0.4340289,0.019966332,0.1651569,-1372.2654
1,3,0,0.8237465,0.10023333,0.14257132,-0.26813647,0.117712356,0.084853955,15003.061
1,3,25,0.30758443,0.4180758,0.39898163,0.3165332,0.21657869,0.21004352,-699.95013
1,3,50,0.35403338,0.5306581,0.40961814,0.49689564,0.19912834,0.11646599,-865.72296
1,3,75,0.25937587,0.51348555,0.3423698,0.60251456,0.16511738,0.06354041,-994.019
1,3,100,0.24583262,0.43628547,0.3398342,0.68130344,0.13776769,0.045757838,-1075.7928
1,3,125,0.26218635,0.37631825,0.32542905,0.73018503,0.119890444,0.044375207,-1138.5454
1,3,150,0.2633229,0.35926098,0.31091294,0.7206042,0.10692971,0.05250696,-1153.956
1,3,175,0.2387896,0.3600734,0.31029445,0.6939592,0.09580848,0.06545547,-1173.0996
