outer,inner,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,2,850,0.15568443,0.30018505,0.20932911,0.4063461,0.039647102,-745.05334
1,2,875,0.15631638,0.2983355,0.209739,0.41095236,0.03962648,-745.67554
1,2,900,0.15688919,0.29535818,0.20928386,0.40652955,0.039726842,-746.76483
1,2,925,0.15670882,0.2878608,0.20803499,0.41595554,0.04002742,-748.5295
1,2,950,0.16056989,0.28047627,0.2070705,0.4304197,0.040468387,-749.1164
1,2,975,0.15629087,0.27631682,0.20714715,0.42224982,0.040833514,-751.34534
1,2,1000,0.15758543,0.27889666,0.20824061,0.42402166,0.040992115,-750.6891
1,3,0,0.4311251,0.14195411,0.1511606,-0.27944148,0.08416281,6502.6855
1,3,25,0.24580687,0.37411577,0.3384793,-0.06532711,0.15410864,-502.8785
1,3,50,0.2156337,0.38773245,0.24382232,0.19340098,0.13879046,-559.9838
1,3,75,0.21017027,0.3397591,0.19161318,0.4286662,0.112298064,-615.65015
1,3,100,0.2096763,0.31089774,0.21574031,0.63239336,0.08880148,-649.69574
1,3,125,0.20874394,0.32114044,0.22761011,0.7123792,0.07174668,-673.2242
1,3,150,0.20704357,0.35213748,0.23690757,0.6847902,0.06070529,-688.2549
1,3,175,0.20358953,0.37323147,0.2446263,0.623893,0.05269369,-699.2354
1,3,200,0.19756834,0.38037345,0.24464348,0.58209693,0.046720434,-710.06433
1,3,225,0.1901557,0.37829357,0.23990221,0.5387796,0.042567942,-719.8601
1,3,250,0.18202923,0.36370328,0.23251267,0.4954503,0.039864313,-730.66327
1,3,275,0.17445141,0.34424284,0.22569242,0.46592915,0.038294196,-736.62775
1,3,300,0.16831574,0.32881007,0.21971838,0.45295265,0.03762383,-739.6281
1,3,325,0.16488002,0.3202342,0.21672182,0.4475115,0.03737892,-742.8696
1,3,350,0.16266674,0.31548992,0.21467878,0.447837,0.037348602,-744.5474
1,3,375,0.16122036,0.31364903,0.2138254,0.44860008,0.037378,-743.1699
1,3,400,0.16122106,0.3123889,0.21324536,0.45031112,0.03739235,-744.3058
1,3,425,0.16127865,0.31185284,0.21274738,0.45072654,0.037426572,-744.6516
1,3,450,0.1604381,0.31168056,0.21266586,0.44921058,0.03743748,-744.15027
1,3,475,0.1606724,0.31167558,0.21273573,0.44874147,0.037447587,-745.1023
1,3,500,0.161006,0.3112643,0.21281725,0.44905993,0.037465613,-745.33875
1,3,525,0.1616461,0.31129712,0.21267791,0.44954383,0.03748766,-744.63586
1,3,550,0.16050981,0.31163484,0.21261786,0.44950897,0.037465155,-743.43976
1,3,575,0.16057815,0.31156105,0.2119971,0.44728652,0.037492484,-743.6634
1,3,600,0.16005333,0.31148747,0.21268089,0.4472828,0.03750959,-744.13184
1,3,625,0.16046934,0.31116048,0.2127389,0.4467492,0.037482608,-745.6084
1,3,650,0.16088717,0.311422,0.21256813,0.44538072,0.037512347,-745.13965
1,3,675,0.15997627,0.31169122,0.21247126,0.44471052,0.03753244,-745.42365
1,3,700,0.16089384,0.31151077,0.21319307,0.44652575,0.03748617,-744.80884
1,3,725,0.1612399,0.31118378,0.21258664,0.44613907,0.037502818,-745.5665
1,3,750,0.16060741,0.31142828,0.21263087,0.4454769,0.03750339,-744.65
1,3,775,0.16035248,0.3114623,0.21252948,0.44510484,0.037518434,-743.9027
1,3,800,0.1611958,0.3112359,0.21239232,0.44632936,0.037518777,-743.91974
1,3,825,0.16040516,0.31296015,0.21432853,0.44596028,0.0375267,-743.3634
1,3,850,0.1605579,0.31094456,0.21273448,0.44537205,0.03753359,-743.3233
1,3,875,0.16157193,0.3113951,0.21279104,0.44422135,0.03756505,-744.333
1,3,900,0.1609892,0.31112134,0.21256611,0.44704974,0.037512004,-745.46576
1,3,925,0.1610948,0.31217125,0.21171306,0.44554535,0.03750959,-744.75494
1,3,950,0.16188642,0.3111941,0.21232899,0.4457659,0.037551157,-745.78253
1,3,975,0.16179746,0.31130752,0.21295686,0.44373265,0.03752819,-745.48914
1,3,1000,0.15977482,0.31070736,0.21238239,0.44593298,0.037533473,-744.81775
1,4,0,0.46671274,0.15622203,0.09607133,0.05938611,0.1333325,2554.0408
1,4,25,0.13698421,0.40779412,0.2459517,0.43148527,0.22362705,-446.48132
1,4,50,0.12109626,0.3597743,0.1432809,0.80811983,0.15585998,-534.77234
1,4,75,0.12099535,0.31671974,0.22827221,0.92314696,0.09657172,-631.80554
1,4,100,0.12120555,0.39528537,0.2554235,0.8586243,0.067406766,-673.4789
1,4,125,0.12294285,0.42125753,0.2665286,0.68831855,0.05031869,-696.6797
