fold,replicate,epoch,rmse_typ,omega_1,omega_2,rho,sigma,LL
1,1,1825,0.269053,0.56659204,0.31095785,-0.9152355,0.025677528,-866.7817
1,1,1850,0.2672583,0.52294976,0.31250408,-0.9415068,0.027202949,-875.4794
1,1,1875,0.26889277,0.5389306,0.31814617,-0.93641156,0.025395734,-875.2031
1,1,1900,0.2697976,0.5594009,0.313053,-0.9003229,0.025494866,-874.79315
1,1,1925,0.26516673,0.5920008,0.32352126,-0.91724813,0.023722278,-880.5453
1,1,1950,0.26224536,0.600872,0.3298249,-0.9174947,0.022821521,-887.2944
1,1,1975,0.25984573,0.6036527,0.3251902,-0.89949375,0.022582628,-879.46234
1,1,2000,0.2616845,0.5905304,0.32817608,-0.9247798,0.022933258,-889.76337
1,2,0,0.33097863,0.22194895,0.1912169,-0.51028866,0.10102391,1769.2802
1,2,25,0.13428192,1.1224862,0.27080932,-0.40823773,0.18773185,-472.04095
1,2,50,0.10560969,0.6311146,0.06050045,0.6330294,0.12801084,-598.9751
1,2,75,0.095198855,0.19954857,0.13157912,0.994873,0.07406795,-766.29645
1,2,100,0.070832185,0.33648878,0.1483729,0.7241441,0.044665724,-868.26715
1,2,125,0.063508414,0.18420914,0.121468104,0.32982317,0.030316914,-935.4386
1,2,150,0.063150525,0.21402112,0.12977073,0.24120308,0.025496725,-942.6702
1,2,175,0.06272737,0.21617608,0.13021007,0.26227167,0.025202326,-942.7701
1,2,200,0.062596045,0.21975325,0.12655073,0.24557091,0.02549568,-942.7924
1,2,225,0.062414367,0.21978633,0.12835693,0.2390314,0.025516016,-943.2629
1,2,250,0.06221623,0.21819319,0.12652528,0.23434383,0.025464071,-944.5925
1,2,275,0.06292662,0.21853693,0.12595493,0.24753483,0.02541003,-943.4723
1,2,300,0.06204268,0.22253609,0.12493679,0.23484619,0.02539004,-942.4192
1,2,325,0.061991885,0.23420824,0.12742525,0.20820515,0.025458608,-939.38916
1,2,350,0.06326682,0.20734918,0.12669913,0.24509777,0.02543246,-944.2526
1,2,375,0.06260207,0.22407463,0.12720089,0.2275575,0.025411889,-944.5407
1,2,400,0.062032506,0.21741283,0.12858379,0.24026327,0.025435599,-943.95605
1,2,425,0.06264579,0.21613698,0.12591286,0.2480857,0.025430368,-943.62976
1,2,450,0.06211608,0.21706694,0.1257735,0.25355682,0.025445592,-943.40436
1,2,475,0.06288911,0.22069651,0.12752151,0.24135013,0.025494052,-943.61597
1,2,500,0.06315957,0.21801248,0.13014533,0.24793099,0.025440827,-944.0316
1,2,525,0.062188577,0.21771106,0.12967789,0.2359114,0.025442222,-944.5858
1,2,550,0.06355207,0.2195453,0.12175539,0.25730804,0.025407473,-942.58014
1,2,575,0.06204888,0.22241263,0.1343687,0.2318964,0.025409564,-942.0784
1,2,600,0.0631281,0.21916656,0.13383488,0.22253028,0.025427928,-942.93567
1,2,625,0.062374443,0.21556954,0.13177466,0.20185743,0.0254091,-943.91626
1,2,650,0.06267508,0.22555871,0.12682693,0.28715706,0.02542874,-942.677
1,2,675,0.06340268,0.21869324,0.12400607,0.2558781,0.025445824,-943.8323
1,2,700,0.0623074,0.21754205,0.12644756,0.2491497,0.025392365,-944.93427
1,2,725,0.062292743,0.21971475,0.12860052,0.2452642,0.025450356,-943.19714
1,2,750,0.062887676,0.22325769,0.1270978,0.25466865,0.02546988,-943.3404
